English,Hyphenation,Pronunciation (British),Français,Césure,Español,Silabación 
Givetian,Give-tian,,Givétien,Gi-vé-tien,Givetiense,Gi-ve-tien-se
Gorstian,Gors-tian,,Gorstien,Gor-stien,Gorstiense,Gors-tien-se
Greenlandian,Geen-lan-d-i-an,,Greenlandien,Green-lan-dien,Groenlandiense,Gro-en-lan-dien-se
Guadalupian,Gua-da-lu-pian,,Guadalupien,Gua-da-lu-pien,Guadalupiense,Gua-da-lu-pien-se
Guzhangian,Gu-zhan-gi-an,,Guzhangien,Guz-han-gien,Guzhangiense,Guz-han-gien-se
Gzhelian,G-zhe-li-an,,Gzhélien,Gzhé-lien,Gzheliense,Gzhe-lien-se
Hadean,Hade-an,,Hadéen,Ha-déen,Hádico,Há-di-co
Hauterivian,Hau-teriv-i-an,,Hauterivien,Hau-te-ri-vien,Hauteriviense,Hau-te-ri-vien-se
Hettangian,Het-tan-gi-an,,Hettangien,Het-tan-gien,Hettangiense,Het-tan-gien-se
Hirnantian,Hir-nan-ti-an,,Hirnantien,Hir-nan-tien,Hirnantiense,Hir-nan-tien-se
Holocene,Hol-o-cene,,Holocène,Ho-lo-cè-ne,Holoceno,Ho-lo-ce-no
Homerian,Ho-mer-i-an,,Homérien,Ho-mé-rien,Homeriense,Ho-me-rien-se
Induan,In-du-an,,Indusien,In-du-sien,Induense,In-du-sien-se
Jiangshanian,Ji-ang-sha-ni-an,,Jiangshanien,Jiang-sha-nien,Jiangshaniense,Jiang-sha-nien-se
Jurassic,Ju-ras-sic,dʒʊˈɹæsɪk,Jurassique,Ju-ras-si-que,Jurásico,Ju-rá-si-co
Kasimovian,Ka-s-i-mo-vi-an,,Kasimovien,Ka-si-mo-vien,Kasimoviense,Ka-si-mo-vien-se
Katian,Kat-i-an,,Katien,Ka-tien,Katiense,Ka-tien-se
Kimmeridgian,Kim-me-r-idg-ian,,Kimméridgien,Kim-mé-rid-gien,Kimmeridgiense,Kim-me-rid-gien-se
Kungurian,Kun-gu-ri-an,,Koungourien,Koun-gou-rien,Kunguriense,Kun-gu-rien-se
Ladinian,La-din-i-an,,Ladinien,La-di-nien,Ladiniense,La-di-nien-se
Langhian,Lan-ghi-an,,Langhien,Lan-ghien,Langhiense,Lan-ghien-se
Llandovery,Lla-nd-o-ver-y,,Llandovery,Llan-do-ve-ry,Llandovery,Llan-do-ve-ry
Lochkovian,Lochko-vi-an,,Lochkovien,Loch-ko-vien,Lochkoviense,Loch-ko-vien-se
Lopingian,Lopin-gi-an,,Lopingien,Lo-pin-gien,Lopingiense,Lo-pin-gien-se
Ludfordian,Lud-for-di-an,,Ludfordien,Lud-for-dien,Ludfordiense,Lud-for-dien-se
Ludlow,Lud-low,,Ludlow,Lud-low,Ludlow,Lud-low
Lutetian,Lu-te-tian,,Lutétien,Lu-té-tien,Luteciense,Lu-te-cien-se
Maastrichtian,Maas-trich-tian,,"Maastrichtien, Maëstrichtien","Maas-trich-tien, Maës-trich-tien",Maastrichtiense,Ma-as-trich-tien-se
Meghalayan,Meg-ha-layan,,Méghalayen,Mé-gha-layen,Megalayense,Me-ga-la-yen-se
Mesoarchean,Mes-o-ar-che-an,,Mésoarchéen,Mé-so-ar-chéen,Mesoarcaico,Me-so-ar-cai-co
